Title,Release Date,Playtime,Metascore,Developer,Publisher,Age Rating,Genre,Platforms
The Witcher 3: Wild Hunt,"MAY 18, 2015",AVERAGE PLAYTIME: 43 HOURS,92,CD PROJEKT RED,CD PROJEKT RED,17+ Mature,"Action, RPG","Platforms
Xbox Series S/X, PlayStation 5, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One"
God of War (2018),"APR 20, 2018",AVERAGE PLAYTIME: 14 HOURS,94,Santa Monica Studio,Sony Interactive Entertainment,17+ Mature,Action,"Platforms
PC, PlayStation 4"
Astro Bot,"SEP 6, 2024",N/A,N/A,N/A,N/A,N/A,"Sep 6, 2024","Platforms
PlayStation 5"
Half-Life 2,"NOV 16, 2004",AVERAGE PLAYTIME: 7 HOURS,96,Valve Software,Valve,17+ Mature,"Action, Shooter","Platforms
PC, macOS, Xbox 360, Linux, Xbox, Android"
The Legend of Zelda: Tears of the Kingdom,"MAY 12, 2023",N/A,96,Nintendo,Nintendo,10+ Everyone 10+,"Action, Adventure","Platforms
Nintendo Switch"
Max Payne,"JUL 25, 2001",AVERAGE PLAYTIME: 2 HOURS,89,Remedy Entertainment,Microsoft Studios,17+ Mature,"Action, Shooter","Platforms
PC, PlayStation 3, Xbox, Classic Macintosh, PlayStation 2, Xbox 360, PlayStation 4"
Marvel's Spider-Man,"SEP 7, 2018",AVERAGE PLAYTIME: 6 HOURS,87,Insomniac Games,Sony Interactive Entertainment,13+ Teen,Action,"Platforms
PlayStation 4, PC, PlayStation 5"
Half-Life: Alyx,"MAR 23, 2020",AVERAGE PLAYTIME: 5 HOURS,93,Valve Software,Valve,17+ Mature,"Action, Shooter, Adventure","Platforms
PC"
Fallout: New Vegas,"OCT 19, 2010",AVERAGE PLAYTIME: 12 HOURS,84,Obsidian Entertainment,Bethesda Softworks,17+ Mature,"Action, Shooter, RPG","Platforms
Xbox 360, PC, Xbox One, PlayStation 4, PlayStation 3"
Max Payne 2: The Fall of Max Payne,"OCT 14, 2003",AVERAGE PLAYTIME: 3 HOURS,80,Remedy Entertainment,Rockstar Games,17+ Mature,"Action, Shooter","Platforms
PC, Xbox, PlayStation 2"
Resident Evil 4 (2005),"JAN 11, 2005",AVERAGE PLAYTIME: 5 HOURS,83,Capcom,Ubisoft Entertainment,17+ Mature,"Action, Shooter","Platforms
GameCube, Android, PC, iOS, PlayStation 4, PlayStation 2, Wii"
The Legend of Zelda: Ocarina of Time,"NOV 21, 1998",AVERAGE PLAYTIME: 7 HOURS,99,Nintendo,Nintendo,0+ Everyone,"Action, Adventure, RPG","Platforms
Nintendo Switch, Nintendo 64"
Black Myth: Wu Kong,"AUG 19, 2024",AVERAGE PLAYTIME: 24 HOURS,N/A,Game Science,N/A,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Third Person, Fantasy, Difficult, Violent, Action-Adventure, Action RPG, Hack and Slash, Dark Fantasy, 3D, combat, Music, Drama, Souls-like, Mythology, Family Sharing","Aug 19, 2024","Platforms
PC"
Black Myth: Wukong,"AUG 20, 2024",N/A,N/A,Game Science,N/A,http://www.heishenhua.com/,"Aug 20, 2024","Platforms
PC, Xbox Series S/X, PlayStation 5"
Divinity: Original Sin 2,"SEP 14, 2017",AVERAGE PLAYTIME: 22 HOURS,95,Larian Studios,Larian Studios,17+ Mature,"RPG, Strategy","Platforms
PlayStation 4, Nintendo Switch, PC, Xbox One"
The Legend of Zelda: The Wind Waker,"DEC 13, 2002",AVERAGE PLAYTIME: 37 HOURS,N/A,Nintendo,N/A,"The Legend of Zelda: Tears of the Kingdom, Zelda's Adventure, Cadence of Hyrule, The Legend of Zelda: Breath of the Wild, Hyrule Warriors Legends, The Legend of Zelda: Tri Force Heroes, Hyrule Warriors, The Legend of Zelda: A Link Between Worlds, The Legend of Zelda: Skyward Sword, The Legend Of Zelda: Four Swords Anniversary Edition, The Legend of Zelda: Spirit Tracks, The Legend of Zelda: Phantom Hourglass, The Legend of Zelda: Twilight Princess, The Legend of Zelda: The Minish Cap, The Legend of Zelda: Four Swords Adventures, The Legend of Zelda: Four Swords, The Legend of Zelda: Oracle of Ages, The Legend of Zelda: Oracle of Seasons, The Legend of Zelda: Majora's Mask, The Legend of Zelda: Ocarina of Time, Zelda's Adventure (1995), Link: The Faces of Evil, The Legend of Zelda: Link's Awakening (1993), The Legend of Zelda: A Link to the Past, Zelda II: The Adventure of Link, The Legend of Zelda","Dec 13, 2002","Platforms
GameCube"
Final Fantasy IX,"JUL 7, 2000",AVERAGE PLAYTIME: 5 HOURS,84,Square Enix,Electronic Arts,13+ Teen,"Adventure, RPG","Platforms
iOS, PlayStation 4, PlayStation, Android, Nintendo Switch, PC, Xbox One"
God of War III,"MAR 16, 2010",AVERAGE PLAYTIME: 10 HOURS,92,SCE Studios Santa Monica,Sony Computer Entertainment,17+ Mature,Action,"Platforms
PlayStation 3"
The Legend of Zelda: Twilight Princess,"NOV 19, 2006",AVERAGE PLAYTIME: 60 HOURS,N/A,Nintendo,N/A,"The Legend of Zelda: Tears of the Kingdom, Zelda's Adventure, Cadence of Hyrule, The Legend of Zelda: Breath of the Wild, Hyrule Warriors Legends, The Legend of Zelda: Tri Force Heroes, Hyrule Warriors, The Legend of Zelda: A Link Between Worlds, The Legend of Zelda: Skyward Sword, The Legend Of Zelda: Four Swords Anniversary Edition, The Legend of Zelda: Spirit Tracks, The Legend of Zelda: Phantom Hourglass, The Legend of Zelda: The Minish Cap, The Legend of Zelda: Four Swords Adventures, The Legend of Zelda: The Wind Waker, The Legend of Zelda: Four Swords, The Legend of Zelda: Oracle of Ages, The Legend of Zelda: Oracle of Seasons, The Legend of Zelda: Majora's Mask, The Legend of Zelda: Ocarina of Time, Zelda's Adventure (1995), Link: The Faces of Evil, The Legend of Zelda: Link's Awakening (1993), The Legend of Zelda: A Link to the Past, Zelda II: The Adventure of Link, The Legend of Zelda","Nov 19, 2006","Platforms
GameCube, Wii U, Wii"
Vampire: The Masquerade - Bloodlines,"NOV 15, 2004",AVERAGE PLAYTIME: 2 HOURS,80,Troika Games,Activision Blizzard,18+ Adults Only,"Action, RPG","Platforms
PC"
Devil May Cry 3: Dante's Awakening,"FEB 17, 2005",AVERAGE PLAYTIME: 1 HOUR,78,Capcom U.S.A,Capcom,17+ Mature,Action,"Platforms
PlayStation 2, Xbox 360, PC, PlayStation 3"
FINAL FANTASY VI,"APR 2, 1994",AVERAGE PLAYTIME: 4 HOURS,92,Square Enix,Square Enix,Not rated,RPG,"Platforms
SNES, Android, PC, iOS, Game Boy Advance"
Muhammad Sex Simulator 2015,"JAN 1, 2015",N/A,N/A,controversial,N/A,N/A,"Jan 1, 2015","Platforms
PC"
Tsukihime,"DEC 18, 2000",N/A,N/A,Type-Moon,N/A,"MELTY BLOOD: TYPE LUMINA, Tsukihime Remake, Kagetsu Tohya","Dec 18, 2000","Platforms
PC"
Tentacle Locker,"AUG 8, 2018",N/A,N/A,Space,N/A,N/A,"Aug 8, 2018","Platforms
iOS, PC, PlayStation 3"
Kingdom Hearts,"MAR 28, 2002",N/A,85,Square,Sony Computer Entertainment,10+ Everyone 10+,"Action, RPG","Platforms
PlayStation 2"
Beat Saber,"MAY 21, 2019",AVERAGE PLAYTIME: 7 HOURS,90,Hyperbolic Magnetism,Oculus Studios,13+ Teen,"Action, Indie","Platforms
PC, PlayStation 5, PlayStation 4"
Silent Hill,"JAN 31, 1999",AVERAGE PLAYTIME: 23 HOURS,86,Team Silent,Konami,17+ Mature,Action,"Platforms
PlayStation"
Need for Speed: Underground 2,"NOV 9, 2004",AVERAGE PLAYTIME: 46 HOURS,82,Electronic Arts Canada,Electronic Arts,13+ Teen,"Racing, Arcade","Platforms
Nintendo DS, PC, PlayStation 2, Game Boy Advance, Xbox, GameCube"
Metal Gear Solid 2: Sons of Liberty,"NOV 12, 2001",AVERAGE PLAYTIME: 12 HOURS,96,Konami Computer Entertainment Japan,Konami,17+ Mature,"Action, Shooter","Platforms
PlayStation 2, PlayStation 3, PS Vita, Xbox 360, Xbox"
Gothic 2,"NOV 29, 2002",AVERAGE PLAYTIME: 46 HOURS,79,Piranha Bytes,JoWooD Productions,17+ Mature,"Action, RPG","Platforms
PC"
The Neverhood,"OCT 31, 1996",N/A,N/A,Microsoft Studios,N/A,"Klaymen Gun Hockey, BoomBots, Skullmonkeys","Oct 31, 1996","Platforms
PlayStation, PC"
Burnout 3: Takedown,"SEP 7, 2004",AVERAGE PLAYTIME: 23 HOURS,94,Criterion Games,Electronic Arts,13+ Teen,"Racing, Arcade","Platforms
Xbox, PlayStation 2, Xbox 360"
The Legend of Zelda: Link's Awakening (1993),"JUN 6, 1993",AVERAGE PLAYTIME: 18 HOURS,N/A,Nintendo,N/A,"The Legend of Zelda: Tears of the Kingdom, Zelda's Adventure, Cadence of Hyrule, The Legend of Zelda: Breath of the Wild, Hyrule Warriors Legends, The Legend of Zelda: Tri Force Heroes, Hyrule Warriors, The Legend of Zelda: A Link Between Worlds, The Legend of Zelda: Skyward Sword, The Legend Of Zelda: Four Swords Anniversary Edition, The Legend of Zelda: Spirit Tracks, The Legend of Zelda: Phantom Hourglass, The Legend of Zelda: Twilight Princess, The Legend of Zelda: The Minish Cap, The Legend of Zelda: Four Swords Adventures, The Legend of Zelda: The Wind Waker, The Legend of Zelda: Four Swords, The Legend of Zelda: Oracle of Ages, The Legend of Zelda: Oracle of Seasons, The Legend of Zelda: Majora's Mask, The Legend of Zelda: Ocarina of Time, Zelda's Adventure (1995), Link: The Faces of Evil, The Legend of Zelda: A Link to the Past, Zelda II: The Adventure of Link, The Legend of Zelda","Jun 6, 1993","Platforms
Game Boy Color, Game Boy, Nintendo 3DS"
Okami,"APR 20, 2006",AVERAGE PLAYTIME: 1 HOUR,93,Ready At Dawn,Capcom,13+ Teen,"Action, Adventure","Platforms
Wii, PlayStation 2, PC"
Dragon Ball Z: Budokai Tenkaichi 3,"OCT 4, 2007",AVERAGE PLAYTIME: 15 HOURS,73,Spike,Atari,13+ Teen,Fighting,"Platforms
Wii, PlayStation 2"
SUPERHOT VR,"MAY 25, 2017",AVERAGE PLAYTIME: 2 HOURS,85,SUPERHOT Team,SUPERHOT Team,0+ Everyone,"Action, Shooter, Simulation, Indie","Platforms
PlayStation 4, PC"
Arcanum: Of Steamworks and Magick Obscura,"AUG 21, 2001",AVERAGE PLAYTIME: 1 HOUR,81,Troika Games,Activision Blizzard,13+ Teen,RPG,"Platforms
PC"
NieR:Automata,"MAR 17, 2017",AVERAGE PLAYTIME: 13 HOURS,86,Platinum Games,Square Enix,17+ Mature,"Action, RPG","Platforms
PlayStation 4, Nintendo Switch, PC, Xbox One"
Metal Gear Solid 4: Guns of the Patriots,"JUN 12, 2008",AVERAGE PLAYTIME: 20 HOURS,94,Kojima Productions,Konami,17+ Mature,"Action, Shooter","Platforms
PlayStation 3"
Stardew Valley,"FEB 25, 2016",AVERAGE PLAYTIME: 13 HOURS,89,Chucklefish,Chucklefish,10+ Everyone 10+,"RPG, Simulation, Indie","Platforms
Nintendo Switch, Xbox One, PC, iOS, macOS, Linux, PlayStation 4, PS Vita, Android"
Cute can be broken,"MAR 3, 2021",N/A,N/A,RPGMaker,N/A,N/A,"Mar 3, 2021","Platforms
PC"
Dead Space,"JAN 27, 2023",AVERAGE PLAYTIME: 4 HOURS,N/A,Electronic Arts,N/A,"Dead Space 3, Dead Space 2, Dead Space: Extraction, Dead Space (2008)","Jan 27, 2023","Platforms
PC, Xbox Series S/X, PlayStation 5"
One Slice of Lust,"JUL 19, 2020",N/A,N/A,Story,N/A,N/A,LustWorks,"Platforms
PC"
Yakuza: Like a Dragon,"JAN 16, 2020",AVERAGE PLAYTIME: 18 HOURS,85,SEGA,SEGA,Not rated,"Action, Adventure, RPG","Platforms
PC, PlayStation 4, Xbox One, Xbox Series S/X, PlayStation 5"
Psychonauts 2,"AUG 24, 2021",AVERAGE PLAYTIME: 11 HOURS,88,Double Fine Productions,Xbox Game Studios,13+ Teen,"Action, Adventure, Platformer","Platforms
PlayStation 4, Xbox One, Xbox Series S/X, macOS, PC, Linux"
Spyro: Year of the Dragon,"OCT 24, 2000",N/A,91,Insomniac Games,Sony Computer Entertainment,0+ Everyone,"Action, Adventure, Platformer","Platforms
PlayStation"
Paper Mario: The Thousand-Year Door,"JUL 22, 2004",N/A,87,Intelligent Systems,Nintendo,0+ Everyone,RPG,"Platforms
Nintendo Switch, GameCube"
International Superstar Soccer Deluxe,"SEP 22, 1995",N/A,N/A,Konami,N/A,"Singleplayer, Multiplayer","Sep 22, 1995","Platforms
PlayStation, SNES, Genesis"
"Pokémon Ruby, Sapphire, Emerald","SEP 16, 2004",N/A,76,Game Freak,Nintendo,0+ Everyone,"Adventure, RPG","Platforms
Game Boy Advance"
Silent Hill 3,"MAY 23, 2003",AVERAGE PLAYTIME: 1 HOUR,78,Konami Computer Entertainment Japan,Konami,13+ Teen,"Action, Adventure","Platforms
PC, PlayStation 2"
Maniac Mansion: Day of the Tentacle,"JUN 25, 1993",AVERAGE PLAYTIME: 6 HOURS,93,LucasArts Entertainment,LucasArts Entertainment,0+ Everyone,"Adventure, Puzzle","Platforms
PC, macOS"
Grim Fandango,"OCT 14, 1998",AVERAGE PLAYTIME: 1 HOUR,94,LucasArts Entertainment,LucasArts Entertainment,Not rated,Adventure,"Platforms
PC"
Pokémon Platinum,"MAR 22, 2009",AVERAGE PLAYTIME: 114 HOURS,N/A,N/A,N/A,N/A,N/A,"System requirements for Nintendo DS
Show less..."
Dungeon Keeper 2,"JUN 30, 1999",AVERAGE PLAYTIME: 1 HOUR,N/A,Electronic Arts,N/A,"Dungeon Keeper (mobile), Dungeon Keeper Gold","Jun 30, 1999","Platforms
PC"
The Longest Journey,"NOV 18, 1999",AVERAGE PLAYTIME: 1 HOUR,91,Funcom,Funcom,17+ Mature,"Adventure, Puzzle","Platforms
PC"
Command & Conquer: Red Alert,"OCT 31, 1996",AVERAGE PLAYTIME: 47 HOURS,81,Sony Interactive Entertainment,Virgin Interactive,13+ Teen,Strategy,"Platforms
PlayStation, PC, PlayStation 3, PSP"
Shin Megami Tensei: Persona 4,"JUL 10, 2008",AVERAGE PLAYTIME: 45 HOURS,90,Sony Interactive Entertainment,Square Enix,17+ Mature,"Action, Adventure, RPG","Platforms
PlayStation 3, PlayStation 2"
Winter Memories,"JAN 5, 2024",AVERAGE PLAYTIME: 10 HOURS,N/A,Kagura Games,N/A,"Singleplayer, Steam Cloud, RPG, FPS, Pixel Graphics, Anime, Nudity, Cute, Mature, Sexual Content, Visual Novel, JRPG, NSFW, hentai, Хентай","Jan 5, 2024","Platforms
PC"
Inner Bimbo,"JAN 25, 2018",N/A,N/A,NSFW,N/A,N/A,"Jan 25, 2018","Platforms
PC"
1v1.LOL,"MAY 6, 2020",AVERAGE PLAYTIME: 1 HOUR,N/A,Lior Alterman,N/A,"Multiplayer, Third Person, Partial Controller Support, Free to Play, Tactical, Third-Person Shooter, PvP, In-App Purchases, 3D, Team-Based, Building, Online PvP, battle, fight, Battle Royale, build, match, school, simulator, box, random, train","May 6, 2020","Platforms
PC, iOS"
RAPE DAY,N/A,N/A,N/A,N/A,Singleplayer,https://www.rapeday.com/,Desk Plant,"Platforms
PC"
OMORI,"DEC 25, 2020",AVERAGE PLAYTIME: 6 HOURS,N/A,Playism,N/A,"Singleplayer, Steam Achievements, RPG, Partial Controller Support","Dec 25, 2020","Platforms
Nintendo Switch, macOS, PC, Xbox Series S/X"
Portal 2,"APR 18, 2011",AVERAGE PLAYTIME: 11 HOURS,95,Valve Software,Electronic Arts,10+ Everyone 10+,"Shooter, Puzzle","Platforms
PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One"
The Last Of Us,"JUN 14, 2013",AVERAGE PLAYTIME: 15 HOURS,95,Naughty Dog,Sony Computer Entertainment,17+ Mature,"Action, Adventure","Platforms
PlayStation 3, PlayStation 4"
It Takes Two,"MAR 26, 2021",AVERAGE PLAYTIME: 10 HOURS,88,Hazelight,Electronic Arts,10+ Everyone 10+,"Action, Adventure, Platformer","Platforms
PlayStation 5, Xbox Series S/X, PlayStation 4, PC, Nintendo Switch, Xbox One"
Portal,"OCT 9, 2007",AVERAGE PLAYTIME: 4 HOURS,90,Valve Software,Valve,13+ Teen,"Action, Puzzle","Platforms
macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch"
The Last of Us Part II,"JUN 19, 2020",N/A,93,Naughty Dog,Sony Interactive Entertainment,17+ Mature,"Action, Shooter, Adventure","Platforms
PlayStation 4, PlayStation 5"
God of War: Ragnarök,"NOV 9, 2022",N/A,N/A,Sony Interactive Entertainment,N/A,"God of War Ragnarok: Valhalla, God of War (2018), God of War: Ascension, God of War Saga, God of War: Origins Collection, God of War: Ghost of Sparta, God of War III, God of War Collection, God of War: Chains of Olympus, God of War: Betrayal, God of War II, God of War I","Nov 9, 2022","Platforms
PC, PlayStation 4, PlayStation 5"
Silent Hill 2 (2001),"SEP 24, 2001",AVERAGE PLAYTIME: 14 HOURS,89,Bloober Team,Konami,Not rated,"Action, Adventure","Platforms
PC, Xbox, PlayStation 2"
Need For Speed: Most Wanted,"NOV 15, 2005",N/A,83,Electronic Arts Black Box,Electronic Arts,13+ Teen,"Racing, Arcade","Platforms
GameCube, Xbox, PlayStation 3, PlayStation 2, PC, Xbox 360, PSP"
Grand Theft Auto: Vice City,"OCT 27, 2002",AVERAGE PLAYTIME: 2 HOURS,94,Rockstar North,Rockstar Games,17+ Mature,Action,"Platforms
Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox"
Minecraft,"MAY 10, 2009",AVERAGE PLAYTIME: 26 HOURS,83,4J Studios,Microsoft Studios,10+ Everyone 10+,"Action, Simulation, Arcade, Massively Multiplayer, Indie","Platforms
Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Nintendo 3DS, Nintendo Switch, macOS, PC, iOS, Wii U, Xbox One, Linux"
Final Fantasy VII (1997),"JAN 31, 1997",AVERAGE PLAYTIME: 3 HOURS,83,Square Enix,Square Enix,13+ Teen,"Action, Adventure, RPG","Platforms
PC, iOS, Android, Nintendo Switch, PlayStation, PlayStation 4, Xbox One"
Diablo II,"JUN 29, 2000",N/A,88,Blizzard North,Blizzard Entertainment,Not rated,"Action, RPG","Platforms
PC, macOS"
Balatro,"FEB 20, 2024",AVERAGE PLAYTIME: 14 HOURS,N/A,PlayStack,N/A,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, 2D, Difficult, Pixel Graphics, Turn-Based, Replay Value, Choices Matter, Roguelike, Turn-Based Strategy, Roguelite, Relaxing, Procedural Generation, Card Game, deckbuilding, Card Battler, Roguelike Deckbuilder","Feb 20, 2024","Platforms
PC, Nintendo Switch"
Windows XP Virus Simulator (test game),"JUL 26, 2020",N/A,N/A,weird,N/A,N/A,FunGames2Play,"Platforms
Web"
Final Fantasy VII Rebirth,"FEB 29, 2024",N/A,N/A,Square Enix,N/A,"Final Fantasy XVI, Final Fantasy XII: The Zodiac Age, FINAL FANTASY XV, LIGHTNING RETURNS: FINAL FANTASY XIII, FINAL FANTASY TYPE-0 HD, FINAL FANTASY XIII-2, Final Fantasy XIV, FINAL FANTASY XIII, FINAL FANTASY IV: THE AFTER YEARS, Final Fantasy Tactics A2: Grimoire of the Rift, Final Fantasy XII: Revenant Wings, FINAL FANTASY III (3D REMAKE), Final Fantasy XII, Final Fantasy X-2, Final Fantasy XI, FINAL FANTASY, Final Fantasy X, Final Fantasy IX, FINAL FANTASY VIII, Final Fantasy Tactics, Final Fantasy VII (1997), FINAL FANTASY VI, FINAL FANTASY V, Final Fantasy IV (1991), Final Fantasy III (1990), Final Fantasy II (1988), Final Fantasy (1987)","Feb 29, 2024","Platforms
PlayStation 5"
Rock n' Roll Racing,"JUN 4, 1993",N/A,N/A,Interplay Productions,N/A,"Singleplayer, Multiplayer, cooperative","Jun 4, 1993","Platforms
PC, Game Boy Advance, PlayStation, SNES, Genesis"
Chrono Trigger,"MAR 11, 1995",AVERAGE PLAYTIME: 6 HOURS,82,Square Enix,Square Enix,Not rated,RPG,"Platforms
SNES, Android, Wii, PC, iOS, Nintendo DS"
The Legend of Zelda: The Minish Cap,"NOV 4, 2004",AVERAGE PLAYTIME: 24 HOURS,N/A,Nintendo,N/A,"The Legend of Zelda: Tears of the Kingdom, Zelda's Adventure, Cadence of Hyrule, The Legend of Zelda: Breath of the Wild, Hyrule Warriors Legends, The Legend of Zelda: Tri Force Heroes, Hyrule Warriors, The Legend of Zelda: A Link Between Worlds, The Legend of Zelda: Skyward Sword, The Legend Of Zelda: Four Swords Anniversary Edition, The Legend of Zelda: Spirit Tracks, The Legend of Zelda: Phantom Hourglass, The Legend of Zelda: Twilight Princess, The Legend of Zelda: Four Swords Adventures, The Legend of Zelda: The Wind Waker, The Legend of Zelda: Four Swords, The Legend of Zelda: Oracle of Ages, The Legend of Zelda: Oracle of Seasons, The Legend of Zelda: Majora's Mask, The Legend of Zelda: Ocarina of Time, Zelda's Adventure (1995), Link: The Faces of Evil, The Legend of Zelda: Link's Awakening (1993), The Legend of Zelda: A Link to the Past, Zelda II: The Adventure of Link, The Legend of Zelda","Nov 4, 2004","Platforms
Wii U, Game Boy Advance, Nintendo 3DS"
The Legend of Zelda: Majora's Mask,"APR 27, 2000",AVERAGE PLAYTIME: 23 HOURS,95,Nintendo,Nintendo,10+ Everyone 10+,"Action, Adventure","Platforms
Nintendo Switch, Nintendo 64"
Fallout 2,"SEP 30, 1998",AVERAGE PLAYTIME: 2 HOURS,86,Black Isle Studios,Bethesda Softworks,17+ Mature,RPG,"Platforms
macOS, PC"
Dragon Age: Origins,"NOV 3, 2009",AVERAGE PLAYTIME: 7 HOURS,91,BioWare,Electronic Arts,17+ Mature,RPG,"Platforms
Xbox 360, Xbox One, macOS, PlayStation 3, PC"
Persona 5,"SEP 15, 2016",AVERAGE PLAYTIME: 105 HOURS,93,Atlus,Deep Silver,17+ Mature,"Action, Adventure, RPG","Platforms
PlayStation 3, PlayStation 4"
Marvel's Spider-Man 2,"OCT 20, 2023",N/A,N/A,Sony Interactive Entertainment,N/A,"Marvel's Spider-Man 2 PC Port, Marvel's Spider-Man Remastered, Marvel's Spider-Man: Miles Morales, Marvel's Spider-Man - Silver Lining, Marvel's Spider-Man - Turf Wars, Marvel's Spider-Man - The Heist, Marvel's Spider-Man, Marvel's Venom","Oct 20, 2023","Platforms
PlayStation 5"
SpaceEngine,"JUN 10, 2019",AVERAGE PLAYTIME: 1 HOUR,N/A,Vladimir Romanyuk,N/A,"Singleplayer, Open World, Partial Controller Support, Exploration, Early Access, Space, VR, Education, Science, Space Sim, VR Support","Jun 10, 2019","Platforms
PC"
Fire Emblem: Three Houses,"JUL 26, 2019",N/A,89,Koei Tecmo,Nintendo,13+ Teen,"RPG, Strategy","Platforms
Nintendo Switch"
P.T.,"AUG 12, 2014",N/A,N/A,Konami,N/A,"Silent Hill: The Short Message, Silent Hill: Book of Memories, Silent Hill: Downpour, Silent Hill: Mobile 3, Silent Hill: Shattered Memories, Silent Hill: The Escape, Silent Hill Homecoming, Silent Hill - The Arcade, Silent Hill: Origins, Silent Hill: Orphan, Silent Hill 4: The Room, Silent Hill 3, Silent Hill 2 (2001), Silent Hill, Silent Hill f, Silent Hill Townfall, Silent Hills","Aug 12, 2014","Platforms
PlayStation 4"
Tekken 3,"MAR 20, 1997",AVERAGE PLAYTIME: 1 HOUR,96,NAMCO,Namco,Not rated,Fighting,"Platforms
PlayStation"
Phoenix Wright: Ace Attorney,"OCT 12, 2001",AVERAGE PLAYTIME: 13 HOURS,80,Capcom,Capcom,13+ Teen,Adventure,"Platforms
iOS, PC, Nintendo 3DS, Nintendo DS, Wii, Android, Game Boy Advance"
Gran Turismo 2,"DEC 11, 1999",N/A,93,Polyphony Digital,Sony Computer Entertainment,0+ Everyone,Racing,"Platforms
PlayStation, Dreamcast"
Sekiro: Shadows Die Twice,"MAR 22, 2019",AVERAGE PLAYTIME: 16 HOURS,90,FromSoftware,Activison,17+ Mature,"Action, RPG","Platforms
Xbox One, PC, PlayStation 4"
StarCraft,"MAR 31, 1998",AVERAGE PLAYTIME: 1 HOUR,88,Mass Media,Nintendo,Not rated,Action,"Platforms
Nintendo 64, PC, macOS"
Baldur's Gate II: Shadows of Amn,"SEP 21, 2000",AVERAGE PLAYTIME: 1 HOUR,95,BioWare,SEGA,13+ Teen,"RPG, Strategy","Platforms
Android, PC, macOS"
The Legend of Zelda: A Link Between Worlds,"NOV 22, 2013",AVERAGE PLAYTIME: 26 HOURS,91,Nintendo,Nintendo,0+ Everyone,Adventure,"Platforms
Nintendo 3DS"
Super Mario Galaxy 2,"MAY 23, 2010",AVERAGE PLAYTIME: 18 HOURS,97,Nintendo,Nintendo,0+ Everyone,Platformer,"Platforms
Wii, Wii U"
Paper Mario (2000),"AUG 11, 2000",AVERAGE PLAYTIME: 5 HOURS,93,Intelligent Systems,Nintendo,0+ Everyone,RPG,"Platforms
Nintendo 64"
Super Mario Bros. 3,"OCT 23, 1988",AVERAGE PLAYTIME: 25 HOURS,N/A,Nintendo,N/A,"Super Mario Odyssey, Super Mario Run, Super Mario 3D World, New Super Mario Bros. U, New Super Mario Bros. 2, Super Mario 3D Land, Super Mario Galaxy 2, New Super Mario Bros. Wii, Super Mario Galaxy, New Super Mario Bros., Super Mario Sunshine, Super Mario World: Super Mario Advance 2, Super Mario 64, Super Mario World 2: Yoshi's Island, Super Mario World, Super Mario Bros. 2, Super Mario Bros.","Oct 23, 1988","Platforms
NES, Game Boy Color, Wii U, Nintendo 3DS, Wii, SNES, Nintendo Switch"
Uncharted 2: Among Thieves,"OCT 13, 2009",AVERAGE PLAYTIME: 13 HOURS,96,Naughty Dog,Sony Computer Entertainment,13+ Teen,"Action, Shooter","Platforms
PlayStation 4, PlayStation 3"
Star Wars: Knights of the Old Republic II – The Sith Lords,"DEC 6, 2004",AVERAGE PLAYTIME: 4 HOURS,85,Aspyr Media,Aspyr,13+ Teen,"Adventure, RPG","Platforms
Xbox, Xbox 360, Linux, macOS, PC, Nintendo Switch, Android"
Mass Effect 3,"MAR 5, 2012",AVERAGE PLAYTIME: 30 HOURS,90,BioWare,Electronic Arts,17+ Mature,"Action, RPG","Platforms
PlayStation 3, Xbox One, PC, Wii U, Xbox 360"
Love You To Bits,"FEB 25, 2016",N/A,N/A,Rovio,N/A,"Space, Cute, Aliens, Story, Robots, puzzles, Soundtrack, planets, love, click","Feb 25, 2016","Platforms
PC, Android, iOS"
Yakuza 0,"MAR 12, 2015",AVERAGE PLAYTIME: 8 HOURS,85,SEGA,SEGA,17+ Mature,"Action, RPG","Platforms
PC, PlayStation 4, PlayStation 3, Xbox One"
3072 AD,"AUG 7, 2021",N/A,N/A,rubber,N/A,N/A,"Aug 7, 2021","Platforms
PC"
FINAL FANTASY VII REMAKE INTERGRADE,"JUN 10, 2021",AVERAGE PLAYTIME: 7 HOURS,N/A,Square Enix,N/A,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, RPG, Third Person, Sci-fi, Fantasy, Action-Adventure, Action RPG, Controller, 3D, Realistic, Cinematic, Building, Magic, Story, Steam Trading Cards, Remake, JRPG, Drama, 3D Platformer, console, Party-Based RPG, offline, Spectacle fighter, escape, bundle, Underground, connect, drive","Jun 10, 2021","Platforms
PC, PlayStation 5"
Resident Evil: Village,"MAY 7, 2021",AVERAGE PLAYTIME: 16 HOURS,83,Capcom,Capcom,Not rated,"Action, Adventure","Platforms
Xbox Series S/X, PC, iOS, PlayStation 5, Nintendo Switch, Xbox One, PlayStation 4"
